Here is my sorted list of zipcode tuples in NYC with over 100 restaurants

(10460.0, 8.258064516129032, 1056)
(10020.0, 8.382978723404255, 768)
(11412.0, 9.0, 720)
(10451.0, 9.072368421052632, 2512)
(10001.0, 9.146694214876034, 8144)
(11224.0, 9.426470588235293, 1200)
(10030.0, 9.428571428571429, 624)
(10005.0, 9.455882352941176, 1104)
(11239.0, 9.714285714285714, 160)
(11236.0, 9.865384615384615, 1776)
(10452.0, 9.922222222222222, 1616)
(10459.0, 9.972602739726028, 1200)
(11370.0, 10.0, 448)
(11692.0, 10.0, 144)
(11365.0, 10.068181818181818, 752)
(11426.0, 10.074074074074074, 480)
(10309.0, 10.076923076923077, 1200)
(10472.0, 10.115384615384615, 1728)
(11234.0, 10.127659574468085, 2432)
(10474.0, 10.222222222222221, 656)
(10004.0, 10.229508196721312, 2272)
(11366.0, 10.283018867924529, 896)
(11217.0, 10.297071129707113, 4064)
(11436.0, 10.304347826086957, 368)
(11427.0, 10.333333333333334, 304)
(11228.0, 10.392156862745098, 848)
(10306.0, 10.403846153846153, 1776)
(10469.0, 10.453488372093023, 1488)
(11231.0, 10.51388888888889, 2544)
(11368.0, 10.516245487364621, 4640)
(11369.0, 10.536082474226804, 1664)
(10462.0, 10.537931034482758, 2368)
(10454.0, 10.55072463768116, 1152)
(11201.0, 10.551401869158878, 5520)
(11364.0, 10.5625, 816)
(10305.0, 10.568181818181818, 1520)
(11237.0, 10.584795321637428, 2864)
(10475.0, 10.604651162790697, 832)
(10023.0, 10.664835164835164, 3152)
(10044.0, 10.666666666666666, 144)
(11210.0, 10.666666666666666, 1408)
(11209.0, 10.669456066945607, 4224)
(10019.0, 10.677215189873417, 10560)
(10461.0, 10.680555555555555, 2464)
(11232.0, 10.683168316831683, 1696)
(10007.0, 10.691666666666666, 2224)
(11360.0, 10.708333333333334, 384)
(11105.0, 10.747826086956522, 1968)
(11374.0, 10.770114942528735, 1456)
(10301.0, 10.774193548387096, 1648)
(10031.0, 10.776470588235295, 1536)
(10065.0, 10.7875, 2768)
(11225.0, 10.8, 1616)
(10471.0, 10.804878048780488, 688)
(11207.0, 10.818181818181818, 2176)
(10280.0, 10.823529411764707, 336)
(11218.0, 10.834586466165414, 2352)
(10456.0, 10.852272727272727, 1488)
(11379.0, 10.857142857142858, 816)
(10307.0, 10.89655172413793, 480)
(10457.0, 10.939759036144578, 1472)
(11435.0, 10.941176470588236, 1696)
(10022.0, 10.942184154175589, 7808)
(10458.0, 10.945054945054945, 3136)
(11222.0, 10.960227272727273, 3088)
(11356.0, 10.962264150943396, 896)
(11238.0, 10.985781990521327, 3936)
(10468.0, 10.989690721649485, 1712)
(11420.0, 11.0, 1392)
(10036.0, 11.094642857142857, 9488)
(10463.0, 11.139344262295081, 2048)
(11421.0, 11.17142857142857, 1168)
(11101.0, 11.18348623853211, 4000)
(11204.0, 11.196581196581196, 1968)
(11361.0, 11.229357798165138, 1904)
(11004.0, 11.25, 528)
(10473.0, 11.258064516129032, 512)
(11215.0, 11.265129682997118, 5952)
(10308.0, 11.283018867924529, 912)
(11385.0, 11.283898305084746, 4032)
(11106.0, 11.287671232876713, 2496)
(10027.0, 11.324675324675324, 2608)
(11362.0, 11.346938775510203, 816)
(10467.0, 11.361290322580645, 2704)
(10017.0, 11.380281690140846, 6016)
(11418.0, 11.390243902439025, 1408)
(11103.0, 11.4, 3344)
(11432.0, 11.4, 3008)
(10010.0, 11.408695652173913, 3936)
(10455.0, 11.422680412371134, 1600)
(10024.0, 11.424083769633508, 3232)
(10012.0, 11.4251968503937, 6432)
(10465.0, 11.426470588235293, 1184)
(10040.0, 11.434782608695652, 1120)
(11373.0, 11.483720930232558, 3600)
(10011.0, 11.495327102803738, 7408)
(11102.0, 11.536585365853659, 1424)
(11233.0, 11.548387096774194, 1072)
(11357.0, 11.580645161290322, 1008)
(11226.0, 11.62051282051282, 3216)
(10018.0, 11.64797507788162, 5328)
(10038.0, 11.662337662337663, 2688)
(10312.0, 11.695652173913043, 1248)
(11212.0, 11.695652173913043, 1568)
(11358.0, 11.707692307692307, 2288)
(10016.0, 11.728426395939087, 6624)
(10466.0, 11.74712643678161, 1440)
(11367.0, 11.76086956521739, 816)
(11230.0, 11.767676767676768, 1632)
(10003.0, 11.769108280254777, 10800)
(10014.0, 11.774025974025975, 6528)
(10025.0, 11.780821917808218, 3792)
(11206.0, 11.785185185185185, 2464)
(10028.0, 11.787878787878787, 3424)
(11433.0, 11.793103448275861, 480)
(10009.0, 11.805555555555555, 4992)
(11417.0, 11.8125, 1104)
(11221.0, 11.813725490196079, 1776)
(11422.0, 11.820512820512821, 656)
(11375.0, 11.827956989247312, 3136)
(10002.0, 11.868663594470046, 7584)
(11219.0, 11.877551020408163, 1680)
(11423.0, 11.911764705882353, 560)
(10013.0, 12.011363636363637, 7680)
(10029.0, 12.021505376344086, 3152)
(11203.0, 12.023076923076923, 2256)
(11208.0, 12.027027027027026, 1856)
(10464.0, 12.058823529411764, 576)
(11378.0, 12.075949367088608, 1296)
(11213.0, 12.080459770114942, 1424)
(11223.0, 12.094674556213018, 2960)
(10453.0, 12.109756097560975, 1424)
(11205.0, 12.113475177304965, 2320)
(10314.0, 12.146198830409357, 2960)
(11214.0, 12.19047619047619, 2880)
(11411.0, 12.2, 368)
(11211.0, 12.238095238095237, 5840)
(11413.0, 12.256410256410257, 656)
(10035.0, 12.256756756756756, 1248)
(11693.0, 12.28, 448)
(10470.0, 12.357142857142858, 736)
(11216.0, 12.402597402597403, 2656)
