ZIPCODE,AVG,NUMBER OF RESTAURANTS,COUNTRY
10460.0,8.258064516129032,1056,US
10020.0,8.382978723404255,768,US
11412.0,9.0,720,US
10451.0,9.072368421052632,2512,US
10001.0,9.146694214876034,8144,US
11224.0,9.426470588235293,1200,US
10030.0,9.428571428571429,624,US
10005.0,9.455882352941176,1104,US
11239.0,9.714285714285714,160,US
11236.0,9.865384615384615,1776,US
10452.0,9.922222222222222,1616,US
10459.0,9.972602739726028,1200,US
11370.0,10.0,448,US
11692.0,10.0,144,US
11365.0,10.068181818181818,752,US
11426.0,10.074074074074074,480,US
10309.0,10.076923076923077,1200,US
10472.0,10.115384615384615,1728,US
11234.0,10.127659574468085,2432,US
10474.0,10.222222222222221,656,US
10004.0,10.229508196721312,2272,US
11366.0,10.283018867924529,896,US
11217.0,10.297071129707113,4064,US
11436.0,10.304347826086957,368,US
11427.0,10.333333333333334,304,US
11228.0,10.392156862745098,848,US
10306.0,10.403846153846153,1776,US
10469.0,10.453488372093023,1488,US
11231.0,10.51388888888889,2544,US
11368.0,10.516245487364621,4640,US
11369.0,10.536082474226804,1664,US
10462.0,10.537931034482758,2368,US
10454.0,10.55072463768116,1152,US
11201.0,10.551401869158878,5520,US
11364.0,10.5625,816,US
10305.0,10.568181818181818,1520,US
11237.0,10.584795321637428,2864,US
10475.0,10.604651162790697,832,US
10023.0,10.664835164835164,3152,US
10044.0,10.666666666666666,144,US
11210.0,10.666666666666666,1408,US
11209.0,10.669456066945607,4224,US
10019.0,10.677215189873417,10560,US
10461.0,10.680555555555555,2464,US
11232.0,10.683168316831683,1696,US
10007.0,10.691666666666666,2224,US
11360.0,10.708333333333334,384,US
11105.0,10.747826086956522,1968,US
11374.0,10.770114942528735,1456,US
10301.0,10.774193548387096,1648,US
10031.0,10.776470588235295,1536,US
10065.0,10.7875,2768,US
11225.0,10.8,1616,US
10471.0,10.804878048780488,688,US
11207.0,10.818181818181818,2176,US
10280.0,10.823529411764707,336,US
11218.0,10.834586466165414,2352,US
10456.0,10.852272727272727,1488,US
11379.0,10.857142857142858,816,US
10307.0,10.89655172413793,480,US
10457.0,10.939759036144578,1472,US
11435.0,10.941176470588236,1696,US
10022.0,10.942184154175589,7808,US
10458.0,10.945054945054945,3136,US
11222.0,10.960227272727273,3088,US
11356.0,10.962264150943396,896,US
11238.0,10.985781990521327,3936,US
